Name,Director,Production,Rated,Runtime,Year,imdbVotes,Actor1,Actor2,Actor3,Actor4,Genre1,Genre2,Genre3
Now and Then,Lesli Linka Glatter,New Line Home Entertainment,PG-13,Less than 2 hours,1995,"22,333",Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith,Drama, Fantasy, Mystery
Shanghai Triad,Yimou Zhang,Sony Pictures Home Entertainment,R,Less than 2 hours,1995,"4,308",Li Gong, Baotian Li, Xiaoxiao Wang, Xuejian Li,Drama, Romance,
Dangerous Minds,John N. Smith,Disney,R,Less than 2 hours,1995,"39,921",Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett,Drama, Romance,
Twelve Monkeys,Terry Gilliam,Universal Pictures,R,More than 2 hours,1995,"487,921",Joseph Melito, Bruce Willis, Jon Seda, Michael Chance,Drama, Romance,
Babe,Chris Noonan,Universal Pictures,G,Less than 2 hours,1995,"98,424",Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving,Drama, Romance,
Carrington,Christopher Hampton,MGM Home Entertainment,R,More than 2 hours,1995,"4,551",Emma Thompson, Jonathan Pryce, Steven Waddington, Samuel West,Drama, Romance,
Dead Man Walking,Tim Robbins,Gramercy Pictures,R,More than 2 hours,1995,"75,957",Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry,Comedy, Drama, Romance
Across the Sea of Time,Stephen Low,Sony Pictures Classics,G,Less than 2 hours,1995,215,Peter Reznick, John McDonough, Avi Hoffman, Victor Steinbach,Crime, Drama, Romance
It Takes Two,Andy Tennant,Warner Home Video,PG,Less than 2 hours,1995,"15,797",Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen,Biography, Drama,
"Cry, the Beloved Country",Darrell Roodt,Miramax,PG-13,Less than 2 hours,1995,"1,479",James Earl Jones, Richard Harris, Vusi Kunene, Charles S. Dutton,Mystery, Sci-Fi, Thriller
Richard III,Richard Loncraine,United Artists,R,Less than 2 hours,1995,"12,049",Ian McKellen, Annette Bening, Jim Broadbent, Robert Downey Jr.,Comedy, Drama, Family
Dead Presidents,"Albert Hughes, Allen Hughes",Hollywood Pictures,R,Less than 2 hours,1995,"16,002",Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez,Biography, Drama, Romance
Restoration,Michael Hoffman,Miramax,R,Less than 2 hours,1995,"7,830",Robert Downey Jr., Sam Neill, David Thewlis, Polly Walker,Crime, Drama,
Mortal Kombat,Paul W.S. Anderson,New Line Home Entertainment,PG-13,Less than 2 hours,1995,"85,058",Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa,Adventure, Drama, Family
To Die For,Gus Van Sant,Columbia Pictures,R,Less than 2 hours,1995,"36,250",Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck,Comedy, Family, Romance
How to Make an American Quilt,Jocelyn Moorhouse,MCA Universal Home Video,PG-13,Less than 2 hours,1995,"8,989",Kaelynn Craddick, Sara Craddick, Kate Capshaw, Adam Baldwin,Drama, Thriller,
Seven Pounds,Gabriele Muccino,Sony Pictures,PG-13,More than 2 hours,2008,"245,070",Will Smith, Rosario Dawson, Woody Harrelson, Michael Ealy,Drama, War,
Seven Pounds,Gabriele Muccino,Sony Pictures,PG-13,More than 2 hours,2008,"245,070",Will Smith, Rosario Dawson, Woody Harrelson, Michael Ealy,Action, Crime, Mystery
Seven Pounds,Gabriele Muccino,Sony Pictures,PG-13,More than 2 hours,2008,"245,070",Will Smith, Rosario Dawson, Woody Harrelson, Michael Ealy,Drama, War,
Seven Pounds,Gabriele Muccino,Sony Pictures,PG-13,More than 2 hours,2008,"245,070",Will Smith, Rosario Dawson, Woody Harrelson, Michael Ealy,Action, Crime, Mystery
Seven Pounds,Gabriele Muccino,Sony Pictures,PG-13,More than 2 hours,2008,"245,070",Will Smith, Rosario Dawson, Woody Harrelson, Michael Ealy,Drama, War,
Seven Pounds,Gabriele Muccino,Sony Pictures,PG-13,More than 2 hours,2008,"245,070",Will Smith, Rosario Dawson, Woody Harrelson, Michael Ealy,Action, Crime, Mystery
Seven Pounds,Gabriele Muccino,Sony Pictures,PG-13,More than 2 hours,2008,"245,070",Will Smith, Rosario Dawson, Woody Harrelson, Michael Ealy,Drama, War,
Seven Pounds,Gabriele Muccino,Sony Pictures,PG-13,More than 2 hours,2008,"245,070",Will Smith, Rosario Dawson, Woody Harrelson, Michael Ealy,Action, Crime, Mystery
Pocahontas,"Mike Gabriel, Eric Goldberg",Buena Vista Distribution Compa,G,Less than 2 hours,1995,"128,997",Irene Bedard, Judy Kuhn, Mel Gibson, David Ogden Stiers,Action, Crime, Drama
When Night Is Falling,Patricia Rozema,Evergreen,R,Less than 2 hours,1995,"5,556",Pascale Bussières, Rachael Crawford, Henry Czerny, David Fox,Biography, Drama, History
Mighty Aphrodite,Woody Allen,Miramax Films,R,Less than 2 hours,1995,"33,083",Pamela Blair, Rene Ceballos, Elie Chaib, George De La Pena,Action, Adventure, Fantasy
Georgia,Ulu Grosbard,LionsGate Entertainment,R,Less than 2 hours,1995,"2,494",Jennifer Jason Leigh, Mare Winningham, Ted Levine, Max Perlich,Comedy, Crime, Drama
Home for the Holidays,Jodie Foster,Passport,PG-13,Less than 2 hours,1995,"9,434",Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning,Comedy, Drama, Romance
Eye for an Eye,John Schlesinger,Leo Films,R,Less than 2 hours,1996,"10,599",Sally Field, Ed Harris, Olivia Burnette, Alexandra Kyle,Drama, Romance,
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Paris Barclay,Miramax,R,Less than 2 hours,1996,"39,938",Shawn Wayans, Marlon Wayans, Tracey Cherelle Jones, Chris Spencer,Drama, Romance,
Two If by Sea,Bill Bennett,Warner Home Video,R,Less than 2 hours,1996,"4,649",Denis Leary, Sandra Bullock, Stephen Dillane, Yaphet Kotto,Drama, Romance,
Bio-Dome,Jason Bloom,MGM/United Artists,PG-13,Less than 2 hours,1996,"22,283",William Atherton, Denise Dowse, Dara Tomanovich, Kevin West,Drama, Romance,
Lawnmower Man 2: Beyond Cyberspace,Farhad Mann,New Line Home Entertainment,PG-13,Less than 2 hours,1996,"8,220",Patrick Bergin, Matt Frewer, Austin O'Brien, Ely Pouget,Animation, Adventure, Drama
French Twist,Josiane Balasko,Canal +,R,Less than 2 hours,1995,"3,929",Victoria Abril, Josiane Balasko, Alain Chabat, Ticky Holgado,Drama, Romance,
Friday,F. Gary Gray,Zebra,R,Less than 2 hours,1995,"79,604",Ice Cube, Chris Tucker, Nia Long, Tommy 'Tiny' Lister,Comedy, Fantasy, Romance
From Dusk Till Dawn,Robert Rodriguez,Dimension Films,R,Less than 2 hours,1996,"231,518",George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis,Drama, Music,
Fair Game,Doug Liman,Summit Entertainment,PG-13,Less than 2 hours,2010,"39,968",Naomi Watts, Sonya Davison, Vanessa Chong, Anand Tiwari,Comedy, Drama, Romance
Fair Game,Doug Liman,Summit Entertainment,PG-13,Less than 2 hours,2010,"39,968",Naomi Watts, Sonya Davison, Vanessa Chong, Anand Tiwari,Action, Drama, Sport
Fair Game,Doug Liman,Summit Entertainment,PG-13,Less than 2 hours,2010,"39,968",Naomi Watts, Sonya Davison, Vanessa Chong, Anand Tiwari,Comedy, Drama, Romance
Fair Game,Doug Liman,Summit Entertainment,PG-13,Less than 2 hours,2010,"39,968",Naomi Watts, Sonya Davison, Vanessa Chong, Anand Tiwari,Action, Drama, Sport
Fair Game,Doug Liman,Summit Entertainment,PG-13,Less than 2 hours,2010,"39,968",Naomi Watts, Sonya Davison, Vanessa Chong, Anand Tiwari,Comedy, Drama, Romance
Fair Game,Doug Liman,Summit Entertainment,PG-13,Less than 2 hours,2010,"39,968",Naomi Watts, Sonya Davison, Vanessa Chong, Anand Tiwari,Action, Drama, Sport
Fair Game,Doug Liman,Summit Entertainment,PG-13,Less than 2 hours,2010,"39,968",Naomi Watts, Sonya Davison, Vanessa Chong, Anand Tiwari,Comedy, Drama, Romance
Fair Game,Doug Liman,Summit Entertainment,PG-13,Less than 2 hours,2010,"39,968",Naomi Watts, Sonya Davison, Vanessa Chong, Anand Tiwari,Action, Drama, Sport
Kicking and Screaming,Noah Baumbach,Trimark,R,Less than 2 hours,1995,"7,304",Josh Hamilton, Samuel Gould, Catherine Kellner, Jonathan Baumbach,Crime, Drama, Thriller
Bed of Roses,Michael Goldenberg,New Line Home Entertainment,PG,Less than 2 hours,1996,"7,006",Christian Slater, Mary Stuart Masterson, Pamela Adlon, Josh Brolin,Comedy, Crime,
Screamers,Christian Duguay,Sony Pictures Home Entertainment,R,Less than 2 hours,1995,"21,118",Peter Weller, Roy Dupuis, Jennifer Rubin, Andrew Lauer,Comedy, Crime, Romance
Things to Do in Denver When You're Dead,Gary Fleder,Miramax,R,Less than 2 hours,1995,"22,976",Andy Garcia, Christopher Lloyd, William Forsythe, Bill Nunn,Comedy,,
Antonia's Line,Marleen Gorris,BMG,R,Less than 2 hours,1995,"7,032",Willeke van Ammelrooy, Els Dottermans, Dora van der Groen, Veerle van Overloop,Action, Sci-Fi, Thriller
Once Upon a Time... When We Were Colored,Tim Reid,Republic Pictures Home Video,PG,Less than 2 hours,1995,423,Al Freeman Jr., Phylicia Rashad, Leon, Paula Kelly,Comedy,,
Last Summer in the Hamptons,Henry Jaglom,Live Home Video,R,Less than 2 hours,1995,308,Victoria Foyt, Viveca Lindfors, Jon Robin Baitz, Savannah Smith Boucher,Comedy, Drama,
Angels and Insects,Philip Haas,MGM Home Entertainment,R,Less than 2 hours,1995,"4,051",Mark Rylance, Kristin Scott Thomas, Patsy Kensit, Jeremy Kemp,Action, Crime, Horror
White Squall,Ridley Scott,Hollywood Pictures,PG-13,More than 2 hours,1996,"18,499",Jeff Bridges, Caroline Goodall, John Savage, Scott Wolf,Biography, Drama, Thriller
Dunston Checks In,Ken Kwapis,Twentieth Century Fox Home Entertainment,PG,Less than 2 hours,1996,"10,201",Jason Alexander, Faye Dunaway, Eric Lloyd, Rupert Everett,Biography, Drama, Thriller
Black Sheep,Jonathan King,IFC Films,NOT RATED,Less than 2 hours,2006,"35,669",Nathan Meister, Peter Feeney, Danielle Mason, Tammy Davis,Biography, Drama, Thriller
Nick of Time,John Badham,Paramount Home Video,R,Less than 2 hours,1995,"33,836",Johnny Depp, Courtney Chase, Charles S. Dutton, Christopher Walken,Biography, Drama, Thriller
Mary Reilly,Stephen Frears,Sony Pictures Home Entertainment,R,Less than 2 hours,1996,"12,306",Julia Roberts, John Malkovich, George Cole, Michael Gambon,Comedy, Drama, Romance
Vampire in Brooklyn,Wes Craven,Paramount,R,Less than 2 hours,1995,"18,043",Eddie Murphy, Angela Bassett, Allen Payne, Kadeem Hardison,Romance, Drama,
Beautiful Girls,Ted Demme,Miramax Films,R,Less than 2 hours,1996,"27,472",Matt Dillon, Noah Emmerich, Annabeth Gish, Lauren Holly,Sci-Fi, Thriller,
Broken Arrow,John Woo,Twentieth Century Fox Home Entertainment,R,Less than 2 hours,1996,"79,810",John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo,Crime, Drama,
10 Things I Hate About You,Gil Junger,Buena Vista Pictures,PG-13,Less than 2 hours,1999,"236,553",Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik,Comedy, Drama,
10 Things I Hate About You,Gil Junger,Buena Vista Pictures,PG-13,Less than 2 hours,1999,"236,553",Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik,Animation, Family, Fantasy
10 Things I Hate About You,Gil Junger,Buena Vista Pictures,PG-13,Less than 2 hours,1999,"236,553",Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik,Comedy, Drama,
10 Things I Hate About You,Gil Junger,Buena Vista Pictures,PG-13,Less than 2 hours,1999,"236,553",Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik,Animation, Family, Fantasy
10 Things I Hate About You,Gil Junger,Buena Vista Pictures,PG-13,Less than 2 hours,1999,"236,553",Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik,Comedy, Drama,
10 Things I Hate About You,Gil Junger,Buena Vista Pictures,PG-13,Less than 2 hours,1999,"236,553",Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik,Animation, Family, Fantasy
10 Things I Hate About You,Gil Junger,Buena Vista Pictures,PG-13,Less than 2 hours,1999,"236,553",Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik,Comedy, Drama,
10 Things I Hate About You,Gil Junger,Buena Vista Pictures,PG-13,Less than 2 hours,1999,"236,553",Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik,Animation, Family, Fantasy
City Hall,Harold Becker,Sony Pictures Home Entertainment,R,Less than 2 hours,1996,"17,277",Al Pacino, John Cusack, Bridget Fonda, Danny Aiello,Drama, Romance,
Bottle Rocket,Wes Anderson,Columbia Pictures,R,Less than 2 hours,1996,"57,167",Luke Wilson, Owen Wilson, Ned Dowd, Shea Fowler,Comedy, Drama,
Mr. Wrong,Nick Castle,Mandeville Films,PG-13,Less than 2 hours,1996,"4,382",Ellen DeGeneres, Bill Pullman, Joan Cusack, Dean Stockwell,Drama, Romance,
Happy Gilmore,Dennis Dugan,MCA Universal Home Video,PG-13,Less than 2 hours,1996,"163,552",Adam Sandler, Christopher McDonald, Julie Bowen, Frances Bay,Adventure, Drama,
Muppet Treasure Island,Brian Henson,Buena Vista,G,Less than 2 hours,1996,"16,754",Tim Curry, Billy Connolly, Jennifer Saunders, Kevin Bishop,Comedy, Adventure, Family
Braveheart,Mel Gibson,Paramount Pictures,R,More than 2 hours,1995,"784,647",James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo,Comedy, Horror, Sci-Fi
Taxi Driver,Martin Scorsese,Columbia Pictures,R,Less than 2 hours,1976,"545,298",Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito,Action, Crime, Drama
Rumble in the Bronx,Stanley Tong,New Line Cinema,R,Less than 2 hours,1995,"31,648",Jackie Chan, Anita Mui, Françoise Yip, Bill Tung,Drama, Horror, Romance
Before and After,Barbet Schroeder,Disney,PG-13,Less than 2 hours,1996,"7,016",Meryl Streep, Liam Neeson, Edward Furlong, Julia Weldon,Comedy, Fantasy, Horror
Margaret's Museum,Mort Ransen,Cabin Fever Entertainment,R,Less than 2 hours,1995,"1,196",Helena Bonham Carter, Clive Russell, Craig Anthony Olejnik, Kate Nelligan,Comedy, Drama, Romance
Anne Frank Remembered,Jon Blair,Sony Pictures Home Entertainment,PG,More than 2 hours,1995,826,Kenneth Branagh, Janny Brandes-Brilslijper, Glenn Close, Rose De Liema,Action, Crime, Thriller
If Lucy Fell,Eric Schaeffer,Sony Pictures Home Entertainment,R,Less than 2 hours,1996,"3,482",Sarah Jessica Parker, Eric Schaeffer, Ben Stiller, Elle Macpherson,Comedy, Drama, Romance
Steal Big Steal Little,Andrew Davis,HBO Video,PG-13,More than 2 hours,1995,826,Andy Garcia, Alan Arkin, Rachel Ticotin, Joe Pantoliano,Comedy, Drama, Romance
Boomerang,Reginald Hudlin,Paramount Pictures,R,Less than 2 hours,1992,"21,168",Eddie Murphy, Robin Givens, Halle Berry, David Alan Grier,Comedy, Drama, Romance
Chungking Express,Kar-Wai Wong,Miramax,PG-13,Less than 2 hours,1994,"43,710",Brigitte Lin, Tony Chiu-Wai Leung, Faye Wong, Takeshi Kaneshiro,Comedy, Drama, Romance
Flirting with Disaster,David O. Russell,Miramax Films,R,Less than 2 hours,1996,"15,568",Ben Stiller, Patricia Arquette, Téa Leoni, Mary Tyler Moore,Drama,,
Pie in the Sky,Bryan Gordon,New Line Cinema,R,Less than 2 hours,1996,752,Josh Charles, Anne Heche, John Goodman, Christine Lahti,Comedy, Crime, Drama
Frankie Starlight,Michael Lindsay-Hogg,New Line Home Entertainment,R,Less than 2 hours,1995,772,Corban Walker, Niall Toibin, Owen Roe, Gabriel Byrne,Comedy,,
Jade,William Friedkin,Paramount,R,Less than 2 hours,1995,"9,657",David Caruso, Linda Fiorentino, Chazz Palminteri, Richard Crenna,Comedy, Family, Sport
Down Periscope,David S. Ward,Twentieth Century Fox Home Entertainment,PG-13,Less than 2 hours,1996,"17,507",Kelsey Grammer, Lauren Holly, Rob Schneider, Harry Dean Stanton,Action, Adventure, Comedy
Man of the Year,Barry Levinson,Universal Pictures,PG-13,Less than 2 hours,2006,"28,520",Robin Williams, Christopher Walken, Laura Linney, Lewis Black,Biography, Drama, History
Man of the Year,Barry Levinson,Universal Pictures,PG-13,Less than 2 hours,2006,"28,520",Robin Williams, Christopher Walken, Laura Linney, Lewis Black,Drama,,
Man of the Year,Barry Levinson,Universal Pictures,PG-13,Less than 2 hours,2006,"28,520",Robin Williams, Christopher Walken, Laura Linney, Lewis Black,Biography, Drama, History
Man of the Year,Barry Levinson,Universal Pictures,PG-13,Less than 2 hours,2006,"28,520",Robin Williams, Christopher Walken, Laura Linney, Lewis Black,Drama,,
Man of the Year,Barry Levinson,Universal Pictures,PG-13,Less than 2 hours,2006,"28,520",Robin Williams, Christopher Walken, Laura Linney, Lewis Black,Biography, Drama, History
Man of the Year,Barry Levinson,Universal Pictures,PG-13,Less than 2 hours,2006,"28,520",Robin Williams, Christopher Walken, Laura Linney, Lewis Black,Drama,,
Man of the Year,Barry Levinson,Universal Pictures,PG-13,Less than 2 hours,2006,"28,520",Robin Williams, Christopher Walken, Laura Linney, Lewis Black,Biography, Drama, History
Man of the Year,Barry Levinson,Universal Pictures,PG-13,Less than 2 hours,2006,"28,520",Robin Williams, Christopher Walken, Laura Linney, Lewis Black,Drama,,
Bad Boys,Michael Bay,Sony Pictures Home Entertainment,R,Less than 2 hours,1995,"182,003",Lisa Boyle, Will Smith, Martin Lawrence, Michael Taliferro,Crime, Drama,
Bad Boys,Michael Bay,Sony Pictures Home Entertainment,R,Less than 2 hours,1995,"182,003",Lisa Boyle, Will Smith, Martin Lawrence, Michael Taliferro,Action, Mystery, Sci-Fi
Bad Boys,Michael Bay,Sony Pictures Home Entertainment,R,Less than 2 hours,1995,"182,003",Lisa Boyle, Will Smith, Martin Lawrence, Michael Taliferro,Crime, Drama,
Bad Boys,Michael Bay,Sony Pictures Home Entertainment,R,Less than 2 hours,1995,"182,003",Lisa Boyle, Will Smith, Martin Lawrence, Michael Taliferro,Action, Mystery, Sci-Fi
Bad Boys,Michael Bay,Sony Pictures Home Entertainment,R,Less than 2 hours,1995,"182,003",Lisa Boyle, Will Smith, Martin Lawrence, Michael Taliferro,Crime, Drama,
Bad Boys,Michael Bay,Sony Pictures Home Entertainment,R,Less than 2 hours,1995,"182,003",Lisa Boyle, Will Smith, Martin Lawrence, Michael Taliferro,Action, Mystery, Sci-Fi
Bad Boys,Michael Bay,Sony Pictures Home Entertainment,R,Less than 2 hours,1995,"182,003",Lisa Boyle, Will Smith, Martin Lawrence, Michael Taliferro,Crime, Drama,
Bad Boys,Michael Bay,Sony Pictures Home Entertainment,R,Less than 2 hours,1995,"182,003",Lisa Boyle, Will Smith, Martin Lawrence, Michael Taliferro,Action, Mystery, Sci-Fi
Amateur,Hal Hartley,Sony Pictures Home Entertainment,R,Less than 2 hours,1994,"4,694",Isabelle Huppert, Martin Donovan, Elina Löwensohn, Damian Young,Action, Comedy, Crime
Apollo 13,Ron Howard,Universal Pictures,PG,More than 2 hours,1995,"220,179",Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise,Crime, Drama, Mystery
Rob Roy,Michael Caton-Jones,MGM Home Entertainment,R,More than 2 hours,1995,"35,654",Liam Neeson, Jessica Lange, John Hurt, Tim Roth,Drama,,
Batman Forever,Joel Schumacher,Warner Bros. Pictures,PG-13,More than 2 hours,1995,"199,151",Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman,Documentary, Biography, War
Beyond Rangoon,John Boorman,Sony Pictures Home Entertainment,R,Less than 2 hours,1995,"4,251",Patricia Arquette, U Aung Ko, Frances McDormand, Spalding Gray,Comedy, Romance,
Blue in the Face,"Paul Auster, Wayne Wang, Harvey Wang",Miramax,R,Less than 2 hours,1995,"7,930",Lou Reed, Michael J. Fox, Roseanne Barr, Mel Gorham,Comedy,,
Canadian Bacon,Michael Moore,MGM Home Entertainment,PG,Less than 2 hours,1995,"14,088",John Candy, Alan Alda, Rhea Perlman, Kevin Pollak,Comedy, Drama, Romance
